task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task1	adc	sub-01	1457.8380	3618	1487.7840	3635	1392.4450	3474	0.2300	1.0000	1.0000	1.0000	0.0006	0.0646
task1	adc	sub-02	1391.9930	3463	1415.1170	3469	1147.8040	3104	98.8920	0.9975	0.9981	0.9390	0.0004	0.1893
task1	adc	sub-03	1382.0220	3462	1424.4440	3535	1282.4790	3249					0.0001	0.0998
task1	adc	sub-04	1454.6960	3623	1520.3210	3757	1304.5300	3308	0.3640	1.0000	1.0000	0.9918	0.0003	0.1422
task1	adc	sub-05	1364.2420	3393	1430.8680	3550	1260.3840	3195	0.0720	1.0000	1.0000	1.0000	0.0002	0.1193
task1	adc	sub-06	1542.3770	3833	1616.2440	3929	1205.9060	3369	0.4560	1.0000	1.0000	1.0000	0.0002	0.2540
task1	adc	sub-07	1603.4310	4005	1683.3930	4153	1412.9030	3631					0.0003	0.1610
task1	adc	sub-08	1474.9340	3695	1511.6990	3741	1133.0480	3125					0.0003	0.2507
task1	adc	sub-09	1361.9170	3403	1423.8280	3465	1347.5710	3333	0.2530	1.0000	1.0000	1.0000	0.0038	0.0572
task1	adc	sub-10	1374.4160	3441	1400.0880	3510	1270.3550	3188	1.3250	1.0000	1.0000	0.9630	0.0003	0.0929
task1	adc	sub-11	1439.2100	3577	1466.4880	3642	1320.5510	3341					0.0003	0.0998
task1	adc	sub-12	1482.2200	3680	1511.2570	3748	1330.6560	3360					0.0001	0.1196
task1	adc	sub-13	1303.6400	3247	1329.1200	3276	1201.4390	3066	15.2660	1.0000	1.0000	0.9972	0.0003	0.0963
task1	adc	sub-14	1174.9950	2984	1216.0570	3070	1055.7650	2781	0.7740	1.0000	1.0000	1.0000	0.0010	0.1326
task1	adc	sub-15	1604.8860	3943	1653.2790	4027	1424.7070	3639					0.0001	0.1384
task1	adc	sub-16	1693.4610	4136	1772.7740	4255	1249.5680	3645					0.0002	0.2953
task1	adc	sub-17	1571.0720	3868	1634.8590	3983	1424.2330	3629	20.6120	0.9959	0.9967	0.9328	0.0002	0.1290
task1	adc	sub-18	1264.3370	3149	1313.4340	3300	1115.2710	2908	0.3930	1.0000	1.0000	1.0000	0.0002	0.1511
task1	adc	sub-19	1282.8600	3236	1318.0480	3309	1198.2940	3026	9.5950	0.9698	0.9761	0.9643	0.0002	0.0910
task1	adc	sub-20	1416.2760	3521	1461.1970	3601	1322.6550	3317	0.6860	1.0000	1.0000	1.0000	0.0001	0.0949
task1	adc	sub-21	1578.5400	3879	1637.1950	3936	1315.9410	3498					0.0002	0.1964
task1	dwi_b1000	sub-01	1424.4940	3563	1487.8200	3635	1399.4650	3499	0.2300	1.0000	1.0000	1.0000	0.0042	0.0633
task1	dwi_b1000	sub-02	1369.6710	3415	1415.1350	3469	1287.5370	3249	98.8920	0.9977	0.9981	0.9754	0.0006	0.0907
task1	dwi_b1000	sub-03	1340.3270	3356	1425.6180	3537	1246.1790	3183					0.0004	0.1262
task1	dwi_b1000	sub-04	1436.7600	3565	1520.3550	3757	1210.8840	3273	0.3640	1.0000	1.0000	1.0000	0.0004	0.2038
task1	dwi_b1000	sub-05	1354.6110	3375	1431.0900	3552	1059.7830	2964	0.0720	1.0000	1.0000	1.0000	0.0001	0.2595
task1	dwi_b1000	sub-06	1526.9720	3803	1616.7000	3929	757.5390	2783	0.4560	1.0000	1.0000	0.5154	0.0001	0.5315
task1	dwi_b1000	sub-07	1586.2380	3945	1683.7640	4153	1370.9330	3581					0.0002	0.1859
task1	dwi_b1000	sub-08	1457.0490	3665	1511.7000	3741	1119.6470	3195					0.0001	0.2595
task1	dwi_b1000	sub-09	1358.1640	3375	1423.9480	3465	1308.9260	3241	0.2530	1.0000	1.0000	1.0000	0.0012	0.0819
task1	dwi_b1000	sub-10	1348.9030	3391	1400.0820	3510	1286.0660	3235	1.3250	1.0000	1.0000	0.9887	0.0016	0.0829
task1	dwi_b1000	sub-11	1412.9690	3502	1466.4880	3642	1346.6440	3367					0.0013	0.0829
task1	dwi_b1000	sub-12	1456.8380	3599	1511.2500	3748	1360.2940	3435					0.0009	0.1007
task1	dwi_b1000	sub-13	1282.1410	3218	1329.1140	3276	1188.6860	3039	15.2660	1.0000	1.0000	0.7204	0.0012	0.1067
task1	dwi_b1000	sub-14	1159.9730	2952	1216.0570	3070	1024.8850	2729	0.7740	1.0000	1.0000	1.0000	0.0012	0.1582
task1	dwi_b1000	sub-15	1577.3700	3891	1653.2790	4027	1281.9390	3471					0.0003	0.2248
task1	dwi_b1000	sub-16	1675.7430	4087	1772.8020	4255	1197.6770	3594					0.0005	0.3248
task1	dwi_b1000	sub-17	1546.3150	3828	1635.9680	3981	1318.4050	3457	20.6120	0.9966	0.9967	0.0300	0.0006	0.1946
task1	dwi_b1000	sub-18	1244.0400	3093	1312.7220	3299	1055.0540	2825	0.3930	1.0000	1.0000	0.5878	0.0007	0.1968
task1	dwi_b1000	sub-19	1261.1840	3167	1318.0480	3309	1200.3910	3026	9.5950	0.9714	0.9761	0.9597	0.0010	0.0902
task1	dwi_b1000	sub-20	1385.0340	3468	1461.2200	3601	1284.5350	3270	0.6860	1.0000	1.0000	0.9913	0.0003	0.1212
task1	dwi_b1000	sub-21	1531.9960	3798	1637.2310	3936	1341.6430	3508					0.0002	0.1807
task1	flair	sub-01	1418.1540	3587	1487.8200	3635	1422.9850	3548	0.2300	1.0000	1.0000	1.0000	0.0062	0.0495
task1	flair	sub-02	1374.0570	3435	1415.1350	3469	1327.2410	3349	98.8920	0.9977	0.9981	0.9970	0.0027	0.0647
task1	flair	sub-03	1336.2370	3384	1425.3740	3535	1318.2810	3292					0.0014	0.0765
task1	flair	sub-04	1418.6150	3546	1520.3550	3757	1385.7120	3438	0.3640	1.0000	1.0000	1.0000	0.0015	0.0899
task1	flair	sub-05	1343.5870	3381	1431.0660	3552	1314.1000	3293	0.0720	1.0000	1.0000	1.0000	0.0011	0.0827
task1	flair	sub-06	1514.1170	3809	1616.6940	3929	1479.8260	3677	0.4560	1.0000	1.0000	0.9934	0.0012	0.0858
task1	flair	sub-07	1577.5090	3987	1683.7640	4153	1533.3070	3839					0.0015	0.0907
task1	flair	sub-08	1466.7590	3691	1511.7000	3741	1149.5640	3232					0.0010	0.2403
task1	flair	sub-09	1383.4010	3419	1423.9480	3465	1350.9660	3343	0.2530	1.0000	1.0000	1.0000	0.0040	0.0551
task1	flair	sub-10	1352.5840	3399	1400.0820	3510	1319.2800	3286	1.3250	1.0000	1.0000	1.0000	0.0039	0.0614
task1	flair	sub-11	1421.4820	3521	1466.4880	3642	1386.0520	3441					0.0028	0.0575
task1	flair	sub-12	1463.4150	3618	1511.2500	3748	1426.3340	3512					0.0028	0.0588
task1	flair	sub-13	1290.4820	3227	1329.1140	3276	1257.7610	3145	15.2660	1.0000	1.0000	0.9297	0.0044	0.0578
task1	flair	sub-14	1139.2120	2959	1216.0570	3070	1130.9740	2871	0.7740	1.0000	1.0000	1.0000	0.0037	0.0734
task1	flair	sub-15	1570.7320	3900	1654.1370	4027	1542.5340	3806					0.0019	0.0693
