task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	brain_outside_pos	pos_dropped
task5	t1	sub_01	3195.1680	8503	4866.6210	11197	1718.7910	4250	0.0020	0.6475
task5	t1	sub_02	2900.2620	7099	6007.9590	12844	1396.7360	3481	0.0037	0.7684
task5	t1	sub_03	2510.6100	6363	6123.9560	13520	1422.8600	3571	0.0021	0.7682
task5	t1	sub_04	3027.5370	8020	6135.6240	13520	1313.6890	3302	0.0013	0.7862
task5	t1	sub_05	2960.7280	7742	5726.9210	12168	1311.8890	3285	0.0022	0.7714
task5	t1	sub_06	3423.3750	8328	5906.5550	12871	1757.6760	4321	0.0021	0.7030
task5	t1	sub_07	2927.2850	7349	4157.5570	9747	1846.3540	4564	0.0020	0.5568
task5	t1	sub_08	2947.7820	7970	4458.3940	10399	1707.7540	4221	0.0011	0.6174
task5	t1	sub_09	3396.9020	8676	4806.1680	10990	1748.5220	4259	0.0003	0.6363
task5	t1	sub_10	3400.6330	8829	6381.4300	13520	1751.9140	4256	0.0023	0.7261
task5	t1	sub_11	3222.9340	8460	6092.8050	13520	1724.0200	4254	0.0015	0.7175
task5	t1	sub_12	3414.8280	8908	4659.3210	10596	1766.3880	4331	0.0024	0.6218
task5	t1	sub_13	3029.3860	8109	6300.1990	13520	1696.4790	4163	0.0013	0.7311
task5	t1	sub_14	3012.8400	8031	6216.0010	13520	1537.9590	3801	0.0016	0.7530
task5	t1	sub_15	3160.3780	8041	4923.6820	10893	1785.6750	4388	0.0011	0.6377
task5	t1	sub_16	2423.9360	6002	3246.7340	7660	1481.2720	3683	0.0029	0.5451
task5	t1	sub_17	2652.9240	6668	4169.8070	9780	1458.5940	3581	0.0035	0.6514
task5	t1	sub_18	2367.3160	6233	3729.0830	9007	1253.2540	3087	0.0008	0.6642
task5	t1	sub_19	2763.7700	7289	5963.9670	12168	1162.0840	2924	0.0007	0.8053
task5	t1	sub_20	3000.1680	7253	4270.8000	9416	1658.5400	3985	0.0020	0.6124
task5	t1	sub_21	3754.2470	9592	4999.0140	11346	1916.7810	4691	0.0011	0.6170
task5	t1	sub_22	3358.3210	8784	4871.1820	11069	1889.1930	4622	0.0004	0.6123
task5	t1	sub_23	3097.4670	8316	4859.1990	11328	1756.7890	4347	0.0035	0.6397
task5	t1	sub_24	2976.6100	7416	4056.7450	8891	1659.9280	4030	0.0032	0.5921
task5	t1	sub_25	3281.4820	8625	4711.3470	10635	1917.7410	4669	0.0000	0.5930
task5	t1	sub_26	3843.6790	10752	9293.6240	18720	1336.8450	3338	0.0000	0.8562
task5	t1	sub_27	3833.9550	11527	8170.5630	17472	1395.3580	3480	0.0000	0.8292
task5	t1	sub_28	4436.1610	12139	9276.4150	18720	1567.7190	3885	0.0000	0.8310
task5	t1	sub_29	4285.9190	11699	9071.9250	18601	1670.5770	4120	0.0000	0.8159
task5	t1	sub_30	4311.4830	12436	9224.9600	18716	1782.9650	4381	0.0000	0.8067
task5	t1	sub_31	2961.3000	7526	4875.6530	11473	1550.6190	3858	0.0000	0.6820
task5	t1	sub_32	2442.2440	6564	3822.8150	8965	1110.1480	2815	0.0000	0.7096
task5	t1	sub_33	3308.6060	8547	4709.4650	10508	1556.4690	3839	0.0000	0.6695
task5	t1	sub_34	3313.2780	9034	6658.7140	13728	1315.2550	3293	0.0000	0.8025
task5	t1	sub_35	4259.8940	11970	9288.5320	18720	1596.5500	3929	0.0000	0.8281
task5	t1	sub_36	3651.3730	9840	5741.4130	12846	2194.4140	5324	0.0000	0.6178
task5	t1	sub_37	4244.8450	11794	9301.2710	18720	1738.5150	4290	0.0000	0.8131
task5	t1	sub_38	4528.7020	12959	9303.6670	18720	1749.2530	4285	0.0000	0.8120
task5	t1	sub_39	3227.5750	8151	4550.0400	9985	1452.5440	3605	0.0000	0.6808
task5	t1	sub_40	2177.7710	5554	2851.8000	6897	1065.0450	2733	0.0009	0.6269
task5	t1	sub_41	2565.8180	6744	4044.9760	9729	1594.2510	3963	0.0000	0.6059
task5	t1	sub_42	2977.2180	8019	4935.5730	11414	1689.3400	4553	0.0000	0.6577
task5	t1	sub_43	3345.0970	8613	7436.3720	14976	1278.2710	3215	0.0000	0.8281
task5	t1	sub_44	2630.8550	6500	4960.0390	10550	1320.3860	3283	0.0000	0.7338
task5	t1	sub_45	2839.3010	7253	3906.2450	8933	1666.1610	4101	0.0000	0.5735
task5	t1	sub_46	2992.5010	7858	4215.9430	9646	1461.3970	3658	0.0000	0.6534
task5	t1	sub_47	2907.6760	7368	4495.1790	10088	1564.5820	3877	0.0000	0.6519
task5	t1	sub_48	3734.8990	10497	8169.3110	17472	1554.0240	3857	0.0000	0.8098
