pooling          transform          dim     MAE       r  spread
----------------------------------------------------------------
logsumexp_t1     identity          1024   3.501  0.9681    0.68
mean             l2                1024   3.501  0.9680    0.67
mean             identity          1024   3.505  0.9680    0.68
logsumexp_t1     l2                1024   3.515  0.9678    0.68
mean_topk_p05    identity          2048   3.671  0.9649    0.69
mean_std         identity          2048   3.698  0.9642    0.80
logsumexp_t1     pca_128            128   3.701  0.9620    0.68
logsumexp_t1     pca_128_whiten     128   3.701  0.9620    0.68
mean_topk_p05    l2                2048   3.706  0.9644    0.73
mean_std         l2                2048   3.734  0.9638    0.82
topk_mean_p25    l2                1024   3.750  0.9633    0.52
topk_mean_p25    identity          1024   3.753  0.9631    0.51
gem_p3           l2                1024   3.760  0.9626    0.66
gem_p3           identity          1024   3.760  0.9626    0.66
logsumexp_t01    identity          1024   3.776  0.9618    0.54
mean             pca_128_whiten     128   3.796  0.9611    0.43
mean             pca_128            128   3.796  0.9611    0.43
logsumexp_t01    l2                1024   3.826  0.9611    0.57
topk_mean_p25    pca_128            128   3.855  0.9596    0.39
topk_mean_p25    pca_128_whiten     128   3.855  0.9596    0.39
mean_std         pca_128_whiten     128   3.862  0.9595    0.52
mean_std         pca_128            128   3.862  0.9595    0.52
mean_std         pca_256            256   3.868  0.9608    0.84
topk_mean_p25    pca_256            256   3.884  0.9603    0.59
mean             pca_256            256   3.900  0.9596    0.76
mean_topk_p05    pca_256            256   3.949  0.9593    0.37
gem_p3           pca_128_whiten     128   3.972  0.9572    0.70
gem_p3           pca_128            128   3.972  0.9572    0.70
logsumexp_t1     pca_256            256   4.008  0.9588    0.58
gem_p3           pca_256            256   4.008  0.9575    0.41
topk_mean_p05    identity          1024   4.018  0.9573    0.48
mean             pca_64              64   4.021  0.9557    0.62
mean_topk_p05    pca_128            128   4.039  0.9564    0.41
mean_topk_p05    pca_128_whiten     128   4.039  0.9564    0.41
topk_mean_p05    l2                1024   4.066  0.9567    0.53
logsumexp_t1     pca_64              64   4.098  0.9536    0.57
mean_std         pca_64              64   4.157  0.9525    0.72
gem_p3           pca_64              64   4.235  0.9515    0.78
gem_p6           identity          1024   4.273  0.9504    0.60
gem_p6           l2                1024   4.294  0.9497    0.65
topk_mean_p05    pca_256            256   4.334  0.9515    0.48
topk_mean_p05    pca_128_whiten     128   4.352  0.9499    0.50
topk_mean_p05    pca_128            128   4.352  0.9499    0.50
topk_mean_p25    pca_64              64   4.386  0.9475    0.60
mean_topk_p05    pca_64              64   4.451  0.9444    0.71
gem_p6           pca_256            256   4.462  0.9470    0.44
topk_mean_p01    identity          1024   4.524  0.9449    0.47
gem_p6           pca_128            128   4.535  0.9452    0.68
gem_p6           pca_128_whiten     128   4.535  0.9452    0.68
logsumexp_t01    pca_256            256   4.560  0.9435    0.12
topk_mean_p01    l2                1024   4.588  0.9437    0.53
topk_mean_p05    pca_64              64   4.794  0.9348    0.71
topk_mean_p01    pca_256            256   4.809  0.9384    0.54
gem_p6           pca_64              64   4.906  0.9353    0.83
topk_mean_p01    pca_128            128   5.019  0.9326    0.46
topk_mean_p01    pca_128_whiten     128   5.019  0.9326    0.46
topk_mean_p01    pca_64              64   5.328  0.9228    0.66
logsumexp_t01    pca_128_whiten     128   5.369  0.9212    0.49
logsumexp_t01    pca_128            128   5.369  0.9212    0.49
max              identity          1024   6.132  0.9112    1.94
max              l2                1024   6.147  0.9112    1.76
max              pca_256            256   6.581  0.8835    0.85
max              pca_128_whiten     128   6.642  0.8826    1.72
max              pca_128            128   6.642  0.8826    1.72
max              pca_64              64   6.791  0.8754    1.68
logsumexp_t01    pca_64              64   7.181  0.8588    1.13
mean             pca_128_drop2      128  11.097  0.7013    8.38
gem_p3           pca_128_drop2      128  11.208  0.6979    8.49
topk_mean_p25    pca_128_drop2      128  11.251  0.6931    8.47
logsumexp_t1     pca_128_drop2      128  11.326  0.6997    8.01
mean_std         pca_128_drop2      128  11.392  0.6739    8.90
topk_mean_p05    pca_128_drop2      128  11.450  0.6877    8.51
gem_p6           pca_128_drop2      128  11.522  0.6767    9.00
mean_topk_p05    pca_128_drop2      128  11.570  0.6757    8.76
logsumexp_t01    pca_128_drop2      128  11.633  0.6478    9.15
topk_mean_p01    pca_128_drop2      128  11.669  0.6619    9.20
topk_mean_p01    pca_64_drop5        64  12.895  0.5384   10.24
max              pca_128_drop2      128  12.903  0.5613   11.40
logsumexp_t01    pca_64_drop5        64  13.293  0.4855   10.82
topk_mean_p05    pca_64_drop5        64  13.452  0.4910   10.63
max              pca_64_drop5        64  13.635  0.4613   12.16
topk_mean_p25    pca_64_drop5        64  14.378  0.4589   12.69
logsumexp_t1     pca_64_drop5        64  14.451  0.4495   12.52
mean             pca_64_drop5        64  14.482  0.4333   12.90
mean_std         pca_64_drop5        64  14.486  0.4337   12.89
gem_p3           pca_64_drop5        64  14.488  0.4386   12.98
mean_topk_p05    pca_64_drop5        64  14.521  0.4336   12.90
gem_p6           pca_64_drop5        64  14.580  0.4273   13.07
